,KillDiff,FirstBlood,AssistDiff,GoldDiff,Dragon,Herald,ExperienceDiff,TowersDestroyed,MinionDiff,win
8470,-4,1,-12,-19.13,0,0,-12.33,0,-3,0
8471,-2,0,-4,-24.03,0,0,-27.87,0,-56,0
8472,0,0,0,8.21,0,1,21.19,0,17,0
8473,2,1,-1,18.05,0,1,9.41,0,19,1
8474,-2,1,-2,-12.49,0,0,-15.18,0,33,0
8475,0,1,2,-0.44,1,0,0.73,0,5,1
8477,-5,1,-3,-21.68,0,0,-21.44,0,-6,0
8478,1,1,3,3.48,1,0,-6.62,0,-20,1
8479,0,1,3,6.44,0,0,4.27,0,18,1
8480,-8,0,-12,-34.49,0,0,-19.95,0,1,0
8481,5,1,8,29.0,0,0,23.08,0,53,1
8482,-2,0,0,-26.96,1,0,0.7,0,-39,1
8484,-5,0,-7,-34.0,0,0,-31.15,0,-16,0
8485,-3,0,-7,-13.87,1,0,-18.02,0,30,0
8486,0,0,-3,2.53,0,0,-5.29,0,22,1
8487,-1,0,-1,-8.39,1,0,-6.23,0,-10,0
8488,3,1,2,29.45,1,1,29.77,1,-15,1
8489,-2,1,-4,-13.46,0,0,-22.8,0,3,0
8490,3,0,0,19.51,1,0,16.4,0,48,0
8491,-2,1,-1,-21.64,1,0,-25.54,0,-18,0
8492,1,0,0,-8.17,0,0,-9.68,0,-30,1
8493,4,1,3,36.43,1,0,36.95,0,55,1
8494,7,1,3,30.66,0,1,22.97,0,39,1
8495,2,1,5,22.41,0,0,12.19,0,43,1
8496,0,0,-5,-19.33,0,0,-16.59,0,-4,0
8497,4,0,6,18.86,0,0,26.53,0,-11,1
8498,-2,0,-4,-2.87,0,0,2.55,0,-26,1
8499,2,1,7,-1.45,1,0,-0.28,0,-18,1
8500,8,1,8,52.41,0,0,31.29,0,24,1
8501,6,1,4,29.75,1,1,26.27,0,14,0
8502,1,1,2,14.19,0,0,10.36,0,37,0
8503,-2,0,-3,-22.86,1,0,-9.26,0,-26,0
8504,2,1,3,15.51,1,0,14.81,0,33,0
