Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,74200.000000,75600.000000,73500.000000,74100.000000,74070.203125,4092785
2020-12-11,74800.000000,76000.000000,74600.000000,74900.000000,74869.875000,2192025
2020-12-14,75300.000000,76200.000000,74500.000000,74700.000000,74669.960938,2401440
2020-12-15,74700.000000,75100.000000,73800.000000,74200.000000,74170.164063,1965785
2020-12-16,74700.000000,75000.000000,74200.000000,74400.000000,74370.078125,1346265
2020-12-17,74800.000000,74800.000000,73700.000000,73800.000000,73770.320313,2275655
2020-12-18,73800.000000,73900.000000,73100.000000,73400.000000,73370.484375,2137165
2020-12-21,73400.000000,76000.000000,73400.000000,75900.000000,75869.476563,4099395
2020-12-22,76000.000000,77900.000000,75100.000000,75200.000000,75169.757813,4382580
2020-12-23,76200.000000,77100.000000,75400.000000,75500.000000,75469.640625,3149760
2020-12-24,75700.000000,76000.000000,74400.000000,74800.000000,74769.921875,2325660
2020-12-28,74900.000000,75400.000000,73900.000000,74600.000000,74570.000000,3232320
2020-12-29,76200.000000,77100.000000,75600.000000,76900.000000,76900.000000,4287020
2020-12-30,76900.000000,78800.000000,76700.000000,77900.000000,77900.000000,4065710
2021-01-04,78400.000000,79300.000000,77100.000000,79200.000000,79200.000000,4268700
2021-01-05,78600.000000,79100.000000,77400.000000,78600.000000,78600.000000,3742795
2021-01-06,79000.000000,82000.000000,78900.000000,79100.000000,79100.000000,7178575
2021-01-07,80400.000000,80700.000000,78600.000000,80500.000000,80500.000000,3875955
2021-01-08,82600.000000,87200.000000,80900.000000,86800.000000,86800.000000,12333575
2021-01-11,88200.000000,92600.000000,85800.000000,90600.000000,90600.000000,15788735
2021-01-12,89200.000000,92000.000000,86600.000000,91500.000000,91500.000000,7889360
2021-01-13,91700.000000,92400.000000,89900.000000,90900.000000,90900.000000,4032010
2021-01-14,90800.000000,92600.000000,90000.000000,90300.000000,90300.000000,4010380
2021-01-15,90400.000000,91800.000000,87300.000000,87500.000000,87500.000000,4978630
2021-01-18,86700.000000,88300.000000,85400.000000,85500.000000,85500.000000,4199920
2021-01-19,85600.000000,88900.000000,85600.000000,88000.000000,88000.000000,2919985
2021-01-20,89600.000000,90000.000000,87400.000000,88800.000000,88800.000000,2981700
2021-01-21,90500.000000,92200.000000,90400.000000,90800.000000,90800.000000,3395465
2021-01-22,91200.000000,95200.000000,90500.000000,92600.000000,92600.000000,5811975
2021-01-25,94400.000000,95100.000000,92000.000000,94700.000000,94700.000000,3600850
2021-01-26,95800.000000,95800.000000,92100.000000,92200.000000,92200.000000,4061330
2021-01-27,92600.000000,95400.000000,92200.000000,93000.000000,93000.000000,3599070
2021-01-28,90800.000000,93700.000000,90400.000000,91600.000000,91600.000000,4609060
2021-01-29,92000.000000,92100.000000,87200.000000,88200.000000,88200.000000,5350465
2021-02-01,87200.000000,88600.000000,85000.000000,88300.000000,88300.000000,4550505
2021-02-02,90000.000000,91400.000000,88700.000000,89100.000000,89100.000000,3314525
2021-02-03,90100.000000,92400.000000,89400.000000,92400.000000,92400.000000,3790485
2021-02-04,92600.000000,92600.000000,89800.000000,90900.000000,90900.000000,2584185
2021-02-05,91400.000000,92200.000000,89500.000000,91000.000000,91000.000000,2042080
2021-02-08,91000.000000,92400.000000,90000.000000,91400.000000,91400.000000,2580575
2021-02-09,92000.000000,93500.000000,90500.000000,92200.000000,92200.000000,3677825
2021-02-10,93200.000000,98100.000000,93200.000000,97900.000000,97900.000000,9072415
2021-02-15,99800.000000,101000.000000,98400.000000,100400.000000,100400.000000,5262740
2021-02-16,100800.000000,103800.000000,99900.000000,102800.000000,102800.000000,5380240
2021-02-17,103000.000000,103000.000000,100600.000000,101800.000000,101800.000000,2812860
2021-02-18,101200.000000,103400.000000,100200.000000,100200.000000,100200.000000,2334610
2021-02-19,99400.000000,101200.000000,98000.000000,100800.000000,100800.000000,3478320
2021-02-22,101000.000000,102000.000000,98000.000000,98100.000000,98100.000000,3204965
2021-02-23,96300.000000,98500.000000,95400.000000,97400.000000,97400.000000,3327085
2021-02-24,97400.000000,98500.000000,94500.000000,94700.000000,94700.000000,3336045
2021-02-25,95600.000000,96900.000000,94700.000000,96900.000000,96900.000000,2812745
2021-02-26,99500.000000,100400.000000,96100.000000,97600.000000,97600.000000,8086380
2021-03-02,99800.000000,100800.000000,98000.000000,98300.000000,98300.000000,4610170
2021-03-03,98100.000000,99000.000000,97600.000000,98700.000000,98700.000000,2641605
2021-03-04,97500.000000,98000.000000,96200.000000,96400.000000,96400.000000,3474450
